Fecha y Hora | Usuario | Dominio | IP Remota | Protocolo | Estado
--------------------------------------------------------------------------------
2024-10-11 02:00:20 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 02:00:20 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:55:43 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:55:43 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:55:40 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:55:40 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:53:05 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:53:05 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:53:04 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:53:04 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:50:03 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:50:03 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:50:03 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:50:03 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:50:02 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:50:02 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:47:46 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:47:46 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:45:19 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:45:19 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:27:31 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:27:31 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:25:16 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:25:16 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:24:38 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:24:38 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:15:19 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:15:19 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:15:19 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:15:19 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:10:46 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:10:46 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:10:33 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:10:33 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:10:19 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:10:19 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:10:19 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:10:19 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:10:16 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:10:16 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:09:15 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:09:15 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 01:05:06 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 01:05:06 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 00:52:01 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 00:52:01 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 00:45:19 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 00:45:19 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 00:40:09 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 00:40:09 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
2024-10-11 00:34:05 | Desconocido | Desconocido | - | Otro | Con Privilegios
2024-10-11 00:34:05 | SYSTEM | NT AUTHORITY | - | Otro | Éxito
